ids,name_repo,lenguaje,stargazers,watchers,forks,tamaño_kb,issues,network_size,star_q1,star_gq2,star_gq3,star_gq4,fork_q1,fork_gq2,fork_gq3,fork_gq4
178764877,https://github.com/indragiek/InAppViewDebugger,Swift,1814,21,105,16043,2,105,1451.75,1.0935,1.0792,1.0588,59.0,1.2542,1.1892,1.1818
114718155,https://github.com/vinceliuice/grub2-themes,Shell,1864,28,160,26019,32,160,363.0,2.2397,1.6101,1.424,39.5,1.9747,1.5321,1.3305
137591095,https://github.com/staudenmeir/eloquent-has-many-deep,PHP,1829,38,120,108,6,120,314.5,2.6328,1.7283,1.2781,29.0,2.1724,1.4762,1.2903
1808641,https://github.com/zsh-users/zsh-history-substring-search,Shell,1834,37,126,151,28,126,438.5,1.9704,1.5642,1.357,33.5,1.8955,1.5,1.3123
85733855,https://github.com/DockStation/dockstation,,1883,39,97,20,150,97,492.0,1.9085,1.5218,1.3177,24.0,2.0417,1.4694,1.3333
59250798,https://github.com/maruos/maruos,,1852,99,126,1075,49,126,1067.0,1.3112,1.1651,1.1362,42.25,1.6686,1.3723,1.2817
63062724,https://github.com/layerJS/layerJS,JavaScript,1835,49,87,14755,25,87,1461.5,1.1081,1.0712,1.0578,33.25,1.5789,1.3286,1.2473
33088125,https://github.com/Tinche/aiofiles,Python,1903,34,134,188,47,134,430.75,2.0418,1.5955,1.3561,32.75,2.0305,1.4774,1.3232
71188401,https://github.com/wellsjo/JSON-Splora,JavaScript,1830,39,74,3051,19,74,1289.5,1.2113,1.0912,1.0736,33.0,1.3939,1.3261,1.2131
139149148,https://github.com/contiamo/restful-react,TypeScript,1853,20,110,10579,45,110,988.25,1.3716,1.1961,1.1429,31.0,1.8387,1.4211,1.284
69415002,https://github.com/anmonteiro/lumo,Clojure,1890,55,92,20392,111,92,847.0,1.5561,1.2367,1.1595,25.5,1.8431,1.4574,1.3139
282311579,https://github.com/profclems/glab,Go,1912,22,164,22444,99,164,905.5,1.429,1.226,1.2052,46.5,1.8065,1.4464,1.3333
142536267,https://github.com/frontend9/fe9-library,,1894,177,138,68,282,138,851.0,1.6392,1.2215,1.1115,37.75,1.947,1.4184,1.2854
39797193,https://github.com/CezaryKopacz/CKWaveCollectionViewTransition,Swift,1864,37,135,809,1,135,1096.0,1.2609,1.1737,1.1492,54.0,1.5,1.3333,1.25
302390676,https://github.com/icexin/eggos,Go,1875,45,90,776,15,90,1199.75,1.3532,1.0824,1.067,36.25,1.531,1.3108,1.2371
4366849,https://github.com/serkanyersen/ifvisible.js,TypeScript,1917,68,185,2489,34,185,1001.0,1.3367,1.2212,1.1732,57.5,1.7217,1.4394,1.2912
15994863,https://github.com/TargetProcess/tauCharts,JavaScript,1905,85,119,23556,70,119,1109.75,1.2958,1.1838,1.1191,40.25,1.6273,1.4008,1.2752
54263609,https://github.com/muammar/mkchromecast,Python,1906,47,130,333569,176,130,702.75,1.6272,1.3347,1.2488,35.25,1.8582,1.4771,1.3333
255231293,https://github.com/karpathy/micrograd,Jupyter Notebook,2061,51,165,248,8,165,1024.5,1.531,1.134,1.1587,68.0,1.5294,1.2981,1.2222
20614919,https://github.com/Thomvis/BrightFutures,Swift,1897,53,193,976,1,193,577.0,1.974,1.3766,1.2098,46.0,2.1087,1.4588,1.3145
6636672,https://github.com/unconed/MathBox.js,JavaScript,1934,113,137,5636,25,137,810.5,1.5842,1.3265,1.1355,37.5,1.8933,1.4507,1.301
