ids,name_repo,lenguaje,stargazers,watchers,forks,tamaño_kb,issues,network_size,star_q1,star_gq2,star_gq3,star_gq4,fork_q1,fork_gq2,fork_gq3,fork_gq4
257727007,https://github.com/jurassiscripts/velociraptor,TypeScript,624,9,22,396,14,22,288.75,1.3524,1.3374,1.1948,7.5,1.6667,1.38,1.2754
14607753,https://github.com/tpope/timl,VimL,624,25,18,1572,4,18,484.5,1.0939,1.0858,1.0843,9.0,1.3333,1.25,1.2
394574917,https://github.com/Kotlin/kotlinx-kover,Kotlin,623,15,17,222,38,17,220.5,1.9728,1.2276,1.1648,5.5,1.7273,1.3947,1.283
304434169,https://github.com/rtk-incubator/rtk-query,TypeScript,617,17,21,3364,1,21,275.0,1.4764,1.3621,1.1157,5.75,1.8261,1.4524,1.3115
49630239,https://github.com/symfony/polyfill-apcu,PHP,636,5,5,23,0,5,309.0,1.3981,1.2616,1.167,2.0,1.5,1.3333,1.25
113033869,https://github.com/monadgroup/axiom,C++,641,16,27,3272,37,27,392.0,1.227,1.1642,1.1446,11.75,1.4043,1.2879,1.2235
296542581,https://github.com/orijtech/structslop,Go,644,7,22,54,6,22,286.0,1.1661,1.7166,1.1249,7.75,1.4839,1.413,1.2923
84382796,https://github.com/fsprojects/Rezoom.SQL,F#,643,33,24,4245,30,24,382.75,1.224,1.1958,1.1477,11.25,1.3778,1.2742,1.2152
80466405,https://github.com/yacy/yacy_grid_mcp,Java,656,15,23,2087,20,23,207.25,1.614,1.7033,1.1514,6.25,1.84,1.4565,1.3134
142875118,https://github.com/ianh/owl,C,673,15,18,2805,4,18,530.25,1.0891,1.0952,1.064,7.5,1.4667,1.3182,1.2414
298674515,https://github.com/ghoullier/awesome-template-literal-types,,705,15,15,3253,0,15,276.5,1.5552,1.3674,1.199,4.5,1.7778,1.4375,1.3043
113753709,https://github.com/cirocosta/cr,Go,685,13,20,10201,9,20,604.5,1.0505,1.0402,1.0371,10.0,1.45,1.1897,1.1594
55865493,https://github.com/andreypopp/react-css-components,JavaScript,684,7,23,519,6,23,534.0,1.0861,1.0966,1.0739,9.5,1.4737,1.3214,1.2432
472582409,https://github.com/rustlang-cn/Rustt,,780,19,32,972,16,32,443.5,1.2762,1.1489,1.1995,12.75,1.451,1.3243,1.3061
195665050,https://github.com/algolia/shipjs,JavaScript,722,38,23,12377,36,23,423.25,1.2487,1.2332,1.1078,6.25,2.0,1.42,1.2958
138140611,https://github.com/lukeed/navaid,JavaScript,720,12,27,92,6,27,327.0,1.3486,1.3673,1.194,8.25,1.7576,1.431,1.3012
174237208,https://github.com/nerdgeneration/www.sh,Shell,718,14,26,11,1,26,643.5,1.0396,1.0366,1.0353,15.0,1.2,1.1667,1.1429
78055849,https://github.com/tombonez/noTunes,Swift,795,12,22,597,7,22,125.5,2.6335,1.6967,1.4177,6.0,2.0,1.4167,1.2941
258450155,https://github.com/alan-ai/alan-sdk-ionic,TypeScript,785,8,12,213461,28,12,185.0,1.8162,1.4048,1.661,3.0,1.6667,1.4,1.2857
280999981,https://github.com/farrow-js/farrow,TypeScript,722,13,31,2401,15,31,357.25,1.3772,1.2515,1.1726,9.25,1.7838,1.4394,1.3053
39194973,https://github.com/gyzerok/adrenaline,JavaScript,721,22,32,504,5,32,249.0,1.7871,1.3607,1.1908,9.5,1.7368,1.4697,1.2784
78247590,https://github.com/spacejam/rio,Rust,739,34,34,177,25,34,376.0,1.3856,1.1977,1.1843,10.75,1.7209,1.4189,1.2952
30602838,https://github.com/Orbiter/OpenWebIndex,,746,5,1,151,0,1,260.0,1.4231,1.627,1.2392,0,0,0,0
205848263,https://github.com/voicerepublic/status.voicerepublic.com,HTML,733,3,2,1,0,2,285.25,1.6459,1.2897,1.2106,1.25,1.2,1.1667,1.1429
44527610,https://github.com/NHDaly/tmux-better-mouse-mode,Shell,787,10,24,36,13,24,218.75,1.904,1.449,1.3041,6.75,1.8519,1.46,1.3151
184528339,https://github.com/voicerepublic/vr-mobile,,773,7,1,27397,0,1,237.75,2.0379,1.307,1.2207,0,0,0,0
44387488,https://github.com/nuprl/10PL,,812,56,29,2090,1,29,442.75,1.3179,1.1898,1.1696,11.75,1.4894,1.3286,1.2473
58718681,https://github.com/Orbiter/h4xx0r,HTML,752,2,0,2,0,0,261.75,1.4231,1.6221,1.2445,0,0,0,0
41371353,https://github.com/voicerepublic/vr-api-specs,Ruby,775,9,1,136,0,1,239.25,2.0293,1.3074,1.221,0,0,0,0
143122800,https://github.com/scylladb/go-set,Go,795,24,24,126,1,24,507.25,1.2361,1.1431,1.1092,9.75,1.4872,1.3276,1.2468
163420599,https://github.com/neoclide/coc-snippets,Vim Snippet,787,8,37,894,1,37,182.75,2.1368,1.5294,1.3177,9.75,2.0,1.4487,1.3097
152438565,https://github.com/TankerHQ/sdk-js,TypeScript,795,14,24,8541,1,24,537.0,1.3939,1.0311,1.0301,13.5,1.4074,1.1316,1.1163
380244619,https://github.com/CollegesChat/university-information,Python,800,6,31,16030,1,31,660.0,1.0962,1.0501,1.053,19.5,1.2051,1.1809,1.1171
94544659,https://github.com/MichaelAquilina/zsh-you-should-use,Shell,825,6,28,474,10,28,239.25,1.9916,1.372,1.262,7.75,1.871,1.4655,1.3176
196635946,https://github.com/julvo/reloading,Python,855,6,23,623,3,23,657.5,1.0753,1.0983,1.1011,11.5,1.3913,1.2188,1.1795
39859622,https://github.com/billpmurphy/hask,Python,844,28,34,257,13,34,366.5,1.4352,1.1606,1.3825,9.0,1.7778,1.5625,1.28
34902045,https://github.com/Seldaek/phar-utils,PHP,847,2,2,18,0,2,247.0,2.0,1.4008,1.224,1.25,1.2,1.1667,1.1429
390496407,https://github.com/spotify/ruler,Kotlin,823,19,33,1776,2,33,82.75,7.9577,1.1917,1.0487,7.5,2.7333,1.2561,1.2039
8212790,https://github.com/egison/egison,Haskell,841,44,34,8892,17,34,280.5,1.8217,1.3297,1.2377,10.5,1.7143,1.4167,1.3333
456728202,https://github.com/nextest-rs/nextest,Rust,858,3,21,130319,23,21,696.0,1.1063,1.0438,1.0675,9.5,1.4737,1.25,1.2
77410237,https://github.com/AnimaApp/Auto-Layout,HTML,867,22,41,116782,71,41,394.5,1.4094,1.2653,1.2324,10.5,2.1429,1.4111,1.2913
13570808,https://github.com/tj/node-thunkify,JavaScript,858,14,44,13,10,44,244.0,1.873,1.4661,1.2806,11.75,1.9149,1.4778,1.3233
276042304,https://github.com/skytable/skytable,Rust,857,19,38,3139,11,38,92.0,4.4674,1.6521,1.2622,13.25,1.6226,1.407,1.2562
160438058,https://github.com/fossasia/fossasia-jekyll-theme,CSS,867,7,5,27996,0,5,224.75,2.3159,1.3665,1.219,2.0,1.5,1.3333,1.25
3389495,https://github.com/gerhard/deliver,Shell,886,26,45,246,2,45,536.0,1.2313,1.1788,1.1388,11.0,2.0,1.4545,1.3438
84448164,https://github.com/mitnk/cicada,Rust,877,15,47,1006,3,47,417.0,1.5875,1.1631,1.139,16.25,1.6923,1.3364,1.2517
309083187,https://github.com/enesozturk/react-native-hold-menu,TypeScript,883,10,45,90910,8,45,506.5,1.1639,1.2913,1.1599,13.0,1.8462,1.3542,1.3231
474176747,https://github.com/tnballo/high-assurance-rust,Rust,914,26,20,4456,0,20,822.0,1.0547,1.0363,1.0173,8.25,1.3939,1.2609,1.3793
57289216,https://github.com/joshuaclayton/unused,Haskell,874,19,26,272,1,26,379.25,1.4595,1.294,1.2202,7.5,1.8667,1.3929,1.2821
